,Drug name,Analyte,Specimen,Population,Pregnancy stage,Subject N,Parameter type,Unit,Value,Summary Statistics,Variation type,Variation value,Interval type,Lower limit,High limit,P value
0,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,10,Cmax,ng ml,45.3,Mean,N/A,N/A,95% CI,29.6,66.3,N/A
1,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,10,tmax,h,0.42,Median,N/A,N/A,Range,0.167,1.0,N/A
2,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,11,Cmax,ng ml,65.1,N/A,N/A,N/A,95% CI,47.5,86,N/A
3,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,11,tmax,h,0. 5,N/A,N/A,N/A,Range,0.167,0.67,N/A
4,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,5,AUC0а,ng mlh,1843.6,Mean,N/A,N/A,95% CI,296.7,3390.5,N/A
5,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,5,t1/2(elimination),h,36.9,Median,N/A,N/A,Range,-1.5,75.5,N/A
6,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,6,Bioavailability,F,89.4%,Mean,N/A,N/A,N/A,N/A,N/A,N/A
7,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,6,ka,h,9.8,Median,N/A,N/A,Range,0.033,22.8,N/A
8,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,6,t1/2(absorption),h,0.035,Median,N/A,N/A,Range,0.01,0.071,N/A
9,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,9,AUC0а,ng mlh,2062.5,N/A,N/A,N/A,95% CI,600.6,3771.4,N/A
10,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,9,Bioavailability,F,Assume 100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,9,CL,l h,0.64,N/A,N/A,N/A,95% CI,0.36,0.92,N/A
12,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,9,VC,l kg,1.67,N/A,N/A,N/A,95% CI,1.25,2.10,N/A
13,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,9,Vss,l kg,2.59,N/A,N/A,N/A,95% CI,1.56,3.62,N/A
14,Lorazepam,Lorazepam,Plasma,children with severe malaria and convulsions,N/A,9,t1/2(elimination),h,23.7,N/A,N/A,N/A,95% CI,9.8,37.6,N/A
