,Drug name,Analyte,Specimen,Population,Pregnancy stage,Subject N,Parameter type,Unit,Value,Summary Statistics,Variation type,Variation value,Interval type,Lower limit,High limit,P value
0,Lorazepam,Lorazepam isomeric mixture,Plasma,parturients,during labor/delivery,N/A,AUC,(ng h)/ml,175.25,Mean,N/A,N/A,95% CI,145.74,204.75,N/A
1,Lorazepam,Lorazepam isomeric mixture,Plasma,parturients,during labor/delivery,N/A,ClT/F,ml/(min kg),2.61,Mean,N/A,N/A,95% CI,2.34,2.88,N/A
2,Lorazepam,Lorazepam isomeric mixture,Plasma,parturients,during labor/delivery,N/A,Cmax,ng/ml,12.96,Mean,N/A,N/A,95% CI,9.42,16.49,N/A
3,Lorazepam,Lorazepam isomeric mixture,Plasma,parturients,during labor/delivery,N/A,Ka,h,0.23,Mean,N/A,N/A,95% CI,0.19,0.28,N/A
4,Lorazepam,Lorazepam isomeric mixture,Plasma,parturients,during labor/delivery,N/A,Vd/F,l,178.78,Mean,N/A,N/A,95% CI,146.46,211.10,N/A
5,Lorazepam,Lorazepam isomeric mixture,Plasma,parturients,during labor/delivery,N/A,t1/2a,h,3.16,Mean,N/A,N/A,95% CI,2.62,3.68,N/A
6,Lorazepam,Lorazepam isomeric mixture,Plasma,parturients,during labor/delivery,N/A,t1/2β,h,10.35,Mean,N/A,N/A,95% CI,9.39,11.32,N/A
7,Lorazepam,Lorazepam isomeric mixture,Plasma,parturients,during labor/delivery,N/A,tmax,h,3.10,Mean,N/A,N/A,95% CI,2.57,3.63,N/A
8,Lorazepam,Lorazepam isomeric mixture,Plasma,parturients,during labor/delivery,N/A,β,h,0.068,Mean,N/A,N/A,95% CI,0.061,0.075,N/A
9,Lorazepam,Lorazepam-glucuronide isomeric mixture,Plasma,parturients,during labor/delivery,N/A,AUC,(ng h)/ml,481.19,Mean,N/A,N/A,95% CI,252.87,709.51,N/A
10,Lorazepam,Lorazepam-glucuronide isomeric mixture,Plasma,parturients,during labor/delivery,N/A,Cmax,ng/ml,35.55,Mean,N/A,N/A,95% CI,8.27,62.83,N/A
11,Lorazepam,Lorazepam-glucuronide isomeric mixture,Plasma,parturients,during labor/delivery,N/A,Ka,h,0.52,Mean,N/A,N/A,95% CI,0.44,0.59,N/A
12,Lorazepam,Lorazepam-glucuronide isomeric mixture,Plasma,parturients,during labor/delivery,N/A,t1/2a,h,1.37,Mean,N/A,N/A,95% CI,1.15,1.58,N/A
13,Lorazepam,Lorazepam-glucuronide isomeric mixture,Plasma,parturients,during labor/delivery,N/A,t1/2β,h,18.17,Mean,N/A,N/A,95% CI,14.10,22.23,N/A
14,Lorazepam,Lorazepam-glucuronide isomeric mixture,Plasma,parturients,during labor/delivery,N/A,tmax,h,4.33,Mean,N/A,N/A,95% CI,2.90,5.77,N/A
15,Lorazepam,Lorazepam-glucuronide isomeric mixture,Plasma,parturients,during labor/delivery,N/A,β,h,0.039,Mean,N/A,N/A,95% CI,0.032,0.047,N/A
